itemId,poli,productName,variantName,stockType,stockQuantity
hlk-photocard-sale-ayd-genshin-date,genshin,Photocard Genshin Date Series,-,Limited,10
hlk-artprint-sale-enn-game-femaleposter,anime,Art Print Female Game Heroines Poster,-,Limited,10
hlk-photocard-sale-ayd-genshin-bf,genshin,Photocard Genshin Boyfriend Series,-,Limited,10
hlk-pick-sale-enn-bocchi-tr,anime,Guitar Pick Bocchi The Rock! Special,-,Limited,10
hlk-photocard-sale-rd-anemo-boys,genshin,Photocard Anemo Boys Boyband Series,-,Limited,10
hlk-photocard-sale-chkn-jujutsu-kaisen,anime,Photocard Jujutsu Kaisen Sorcerer Series,-,Limited,10
hlk-sticker-tsn-bangaboo,zzz,Sticker Die-Cut Bangaboo ZZZ,-,PO Unlimited,999
hlk-photocard-sale-tsn-genshin-chair,genshin,Photocard Genshin Sitting Chair Series,-,Limited,10
hlk-ticket-sale-enn-kpop-demon-hunter,anime,Special Event Ticket Demon Hunter K-Pop Edition,-,Limited,10
hlk-sticker-rd-ikan,original,Sticker Die-Cut Ikan Estetik RD,-,PO Unlimited,999
hlk-sticker-tsn-zzz,zzz,Sticker Set Zenless Zone Zero Agents,-,PO Unlimited,999
hlk-pas-foto-enn-genhsin,genshin,Pas Foto 3x4 Formal Teyvat Clinic ID,-,PO Unlimited,999
hlk-keychain-tsn-zzz,zzz,Acrylic Keychain Zenless Zone Zero,-,PO Unlimited,999
hlk-decacde-card-sale-enn-kamen-raider,kamen-rider,Decade Ride Card Kamen Rider Collection,-,Limited,10
hlk-sticker-sale-rd-wriothesley,genshin,Sticker Die-Cut Wriothesley Duke of Meropide,-,Limited,10
hlk-sticker-luki-dandadan,anime,Sticker Set Dandadan Chibi Spirits,-,PO Unlimited,999
hlk-sticker-tsn-wuwa,wuwa,Sticker Die-Cut Wuthering Waves Resonators,-,PO Unlimited,999
hlk-pin-sale-enn-umamusume,anime,Can Badge Pin Uma Musume Pretty Derby,-,Limited,10
hlk-keychain-sale-dne-mihoyo,genshin,Keychain Mihoyo,-,Limited,10
hlk-keychain-luki-dandadan,anime,Acrylic Keychain Dandadan Turbo Action,-,PO Unlimited,999
hlk-sticker-sale-ayd-genshin,genshin,Sticker Genshin,-,Limited,10
hlk-artprint-sale-chkn-mihoyo-bf,genshin,Print Mihoyo Bf,-,Limited,10
hlk-sticker-sale-dne-suisei,vtuber,Sticker Die-Cut Hoshimachi Suisei Idol,-,Limited,10
hlk-artprint-sale-ayd-genshin-bf,genshin,Art Print A5 Genshin Boyfriend Series,-,Limited,10
hlk-photocard-sale-meru-genhsin,genshin,Photocard Genhsin,-,Limited,10
hlk-keychain-sale-dne-suisei,vtuber,Acrylic Keychain Hoshimachi Suisei Stellar,-,Limited,10
hlk-pin-sale-meru-genshin-male,genshin,Pin Genshin Male,-,Limited,10
hlk-photocard-sale-enn-kamen-raider,kamen-rider,Photocard Kamen Rider Legend Series,-,Limited,10
hlk-sticker-chkn-mie-ayam,original,Sticker Die-Cut Mie Ayam Abang-Abang,-,PO Unlimited,999
hlk-sticker-meru-alien-stage,anime,Sticker Set Alien Stage Ivan & Till,-,PO Unlimited,999
hlk-polaroid-dne-vtuber-mc-mihoyo,vtuber,Polaroid Vtuber Mc Mihoyo,-,PO Unlimited,999
hlk-keychain-tsn-wuwa,wuwa,Acrylic Keychain Wuthering Waves,-,PO Unlimited,999
hlk-keychain-sale-dne-vtuber,vtuber,Keychain Vtuber,-,Limited,10
hlk-sticker-sale-tsn-kucing-jelek,original,Sticker Die-Cut Kucing Jelek Tapi Sayang,-,Limited,10
hlk-artprint-dne-suisei-vtuber,vtuber,Art Print A5 Hoshimachi Suisei Concert Stage,-,PO Unlimited,999
hlk-sticker-sale-dne-mihoyo,genshin,Sticker Mihoyo,-,Limited,10
hlk-artprint-sale-meru-hsr,hsr,Art Print A5 Honkai Star Rail Astral Journey,-,Limited,10
hlk-sticker-sale-rd-sumeru-barbie,genshin,Sticker Sumeru Barbie Alhaitham & Kaveh,-,Limited,10
hlk-sticker-sale-ayd-aov,aov,Sticker Chibi Pack Arena of Valor,-,Limited,10
hlk-keychain-tsn-httd-frosted,anime,Frosted Keychain How To Train Your Dragon,-,PO Unlimited,999
hlk-pin-sale-ayd-game-mc,anime,Can Badge Pin Game MC Protagonist,-,Limited,10
hlk-keychain-tsn-bangaboo,zzz,Acrylic Keychain Bangaboo ZZZ,-,PO Unlimited,999
hlk-sticker-chkn-genshin-hsr,genshin,Sticker Genshin Hsr,-,PO Unlimited,999
hlk-photocard-sale-chkn-genshin-male,genshin,Photocard Genshin Male,-,Limited,10
hlk-artprint-sale-dne-mihoyo-mc,genshin,Print Mihoyo Mc,-,Limited,10
hlk-sticker-sale-rd-cynonari,genshin,Sticker Die-Cut Cyno & Tighnari Cynonari,-,Limited,10
hlk-photocard-sale-rd-genshin-male,genshin,Photocard Genshin Male,-,Limited,10
